year_month,year_number,quarter_number,category_name,sub_category_name,transaction_lines,units_sold,revenue,profit,margin_pct
2020-04,2020,2,Electronics,Electronic Games,2,18,12266.0,3059.0,24.94
2020-04,2020,2,Electronics,Phones,3,30,18636.0,2365.0,12.69
2020-04,2020,2,Electronics,Printers,2,26,17586.0,4506.0,25.62
2020-04,2020,2,Furniture,Bookcases,2,17,3887.0,1277.0,32.85
2020-04,2020,2,Furniture,Chairs,3,9,8627.0,2228.0,25.83
2020-04,2020,2,Furniture,Sofas,4,19,22732.0,9519.0,41.87
2020-04,2020,2,Furniture,Tables,3,36,13455.0,5593.0,41.57
2020-04,2020,2,Office Supplies,Binders,1,6,3080.0,737.0,23.93
2020-04,2020,2,Office Supplies,Markers,3,28,21182.0,4763.0,22.49
2020-04,2020,2,Office Supplies,Paper,1,14,869.0,373.0,42.92
2020-04,2020,2,Office Supplies,Pens,3,25,11065.0,1736.0,15.69
2020-05,2020,2,Electronics,Electronic Games,2,18,10432.0,2419.0,23.19
2020-05,2020,2,Electronics,Laptops,2,17,5497.0,1351.0,24.58
2020-05,2020,2,Electronics,Phones,3,25,15575.0,801.0,5.14
2020-05,2020,2,Electronics,Printers,1,4,3423.0,804.0,23.49
2020-05,2020,2,Furniture,Chairs,1,19,3760.0,1849.0,49.18
2020-05,2020,2,Furniture,Sofas,4,56,33106.0,5873.0,17.74
2020-05,2020,2,Furniture,Tables,2,20,2189.0,427.0,19.51
2020-05,2020,2,Office Supplies,Markers,3,39,15697.0,6274.0,39.97
2020-05,2020,2,Office Supplies,Paper,2,23,11545.0,3134.0,27.15
2020-05,2020,2,Office Supplies,Pens,2,8,12063.0,1362.0,11.29
2020-06,2020,2,Electronics,Laptops,1,20,1231.0,214.0,17.38
2020-06,2020,2,Electronics,Phones,2,23,11076.0,2123.0,19.17
2020-06,2020,2,Electronics,Printers,1,5,2472.0,211.0,8.54
2020-06,2020,2,Furniture,Sofas,4,40,21439.0,3750.0,17.49
2020-06,2020,2,Furniture,Tables,1,16,717.0,158.0,22.04
2020-06,2020,2,Office Supplies,Markers,1,16,9965.0,3033.0,30.44
2020-07,2020,3,Electronics,Printers,2,8,6846.0,1608.0,23.49
2020-07,2020,3,Office Supplies,Binders,1,4,3194.0,534.0,16.72
2020-07,2020,3,Office Supplies,Markers,2,10,13522.0,4917.0,36.36
2020-07,2020,3,Office Supplies,Pens,4,36,14994.0,4949.0,33.01
2020-08,2020,3,Electronics,Electronic Games,1,3,7493.0,96.0,1.28
