year_month,year_number,quarter_number,month_number,month_name,transaction_lines,units_sold,revenue,profit,avg_line_value,margin_pct,in_analysis_window
2020-04,2020,2,4,April,27,228,133385.0,36156.0,4940.19,27.11,1
2020-05,2020,2,5,May,22,229,113287.0,24294.0,5149.41,21.44,1
2020-06,2020,2,6,June,10,120,46900.0,9489.0,4690.0,20.23,1
2020-07,2020,3,7,July,9,58,38556.0,12008.0,4284.0,31.14,1
2020-08,2020,3,8,August,16,101,91117.0,27824.0,5694.81,30.54,1
2020-09,2020,3,9,September,20,227,109434.0,29876.0,5471.7,27.3,1
2020-10,2020,4,10,October,26,283,110836.0,24776.0,4262.92,22.35,1
2020-11,2020,4,11,November,21,259,108170.0,28979.0,5150.95,26.79,1
2020-12,2020,4,12,December,16,146,84725.0,24509.0,5295.31,28.93,1
2021-01,2021,1,1,January,9,62,22187.0,6449.0,2465.22,29.07,1
2021-02,2021,1,2,February,17,187,89829.0,19967.0,5284.06,22.23,1
2021-03,2021,1,3,March,19,201,103198.0,36377.0,5431.47,35.25,1
2021-04,2021,2,4,April,13,148,82463.0,18777.0,6343.31,22.77,1
2021-05,2021,2,5,May,20,245,124149.0,29182.0,6207.45,23.51,1
2021-06,2021,2,6,June,18,213,96616.0,24667.0,5367.56,25.53,1
2021-07,2021,3,7,July,14,148,85611.0,17409.0,6115.07,20.34,1
2021-08,2021,3,8,August,17,191,79494.0,15947.0,4676.12,20.06,1
2021-09,2021,3,9,September,12,117,57426.0,13592.0,4785.5,23.67,1
2021-10,2021,4,10,October,24,232,156211.0,34803.0,6508.79,22.28,1
2021-11,2021,4,11,November,28,295,150979.0,33254.0,5392.11,22.03,1
2021-12,2021,4,12,December,26,319,133283.0,32807.0,5126.27,24.61,1
2022-01,2022,1,1,January,31,292,145619.0,39808.0,4697.39,27.34,1
2022-02,2022,1,2,February,26,230,106735.0,29826.0,4105.19,27.94,1
2022-03,2022,1,3,March,19,226,93795.0,27220.0,4936.58,29.02,1
2022-04,2022,2,4,April,21,247,110873.0,28156.0,5279.67,25.39,1
2022-05,2022,2,5,May,23,276,143713.0,30140.0,6248.39,20.97,1
2022-06,2022,2,6,June,27,356,146997.0,45962.0,5444.33,31.27,1
2022-07,2022,3,7,July,16,217,61745.0,16986.0,3859.06,27.51,1
2022-08,2022,3,8,August,33,409,198965.0,58918.0,6029.24,29.61,1
2022-09,2022,3,9,September,9,108,48619.0,15425.0,5402.11,31.73,1
2022-10,2022,4,10,October,28,263,155508.0,39007.0,5553.86,25.08,1
2022-11,2022,4,11,November,10,105,42793.0,12750.0,4279.3,29.79,1
2022-12,2022,4,12,December,45,505,204413.0,48915.0,4542.51,23.93,1
2023-01,2023,1,1,January,16,192,64321.0,16237.0,4020.06,25.24,1
2023-02,2023,1,2,February,13,144,60982.0,15101.0,4690.92,24.76,1
2023-03,2023,1,3,March,17,183,105849.0,33445.0,6226.41,31.6,1
2023-04,2023,2,4,April,23,236,103109.0,22102.0,4483.0,21.44,1
2023-05,2023,2,5,May,17,174,83300.0,17651.0,4900.0,21.19,1
2023-06,2023,2,6,June,18,167,97770.0,25536.0,5431.67,26.12,1
2023-07,2023,3,7,July,30,319,181554.0,49391.0,6051.8,27.2,1
2023-08,2023,3,8,August,14,182,74870.0,19758.0,5347.86,26.39,1
2023-09,2023,3,9,September,23,238,108133.0,29086.0,4701.43,26.9,1
2023-10,2023,4,10,October,25,267,126861.0,35231.0,5074.44,27.77,1
2023-11,2023,4,11,November,17,163,88896.0,25529.0,5229.18,28.72,1
2023-12,2023,4,12,December,21,232,134078.0,32604.0,6384.67,24.32,1
2024-01,2024,1,1,January,14,163,47645.0,9292.0,3403.21,19.5,1
2024-02,2024,1,2,February,19,214,108414.0,25896.0,5706.0,23.89,1
2024-03,2024,1,3,March,23,265,119216.0,36008.0,5183.3,30.2,1
2024-04,2024,2,4,April,21,147,138052.0,34182.0,6573.9,24.76,1
2024-05,2024,2,5,May,25,220,117494.0,28362.0,4699.76,24.14,1
2024-06,2024,2,6,June,27,342,140745.0,36191.0,5212.78,25.71,1
2024-07,2024,3,7,July,26,284,129944.0,36323.0,4997.85,27.95,1
2024-08,2024,3,8,August,14,148,73384.0,20842.0,5241.71,28.4,1
2024-09,2024,3,9,September,16,201,84624.0,23265.0,5289.0,27.49,1
2024-10,2024,4,10,October,17,180,83105.0,21337.0,4888.53,25.67,1
2024-11,2024,4,11,November,13,177,60976.0,15657.0,4690.46,25.68,1
2024-12,2024,4,12,December,25,182,98879.0,20981.0,3955.16,21.22,1
2025-01,2025,1,1,January,16,177,112906.0,38595.0,7056.63,34.18,0
2025-02,2025,1,2,February,18,157,84712.0,28151.0,4706.22,33.23,0
