order_date,year_number,quarter_number,month_number,month_name,year_month,is_complete_year,is_complete_month
2020-03-22,2020,1,3,March,2020-03,1,0
2020-03-23,2020,1,3,March,2020-03,1,0
2020-03-31,2020,1,3,March,2020-03,1,0
2020-04-02,2020,2,4,April,2020-04,1,1
2020-04-04,2020,2,4,April,2020-04,1,1
2020-04-05,2020,2,4,April,2020-04,1,1
2020-04-08,2020,2,4,April,2020-04,1,1
2020-04-13,2020,2,4,April,2020-04,1,1
2020-04-16,2020,2,4,April,2020-04,1,1
2020-04-18,2020,2,4,April,2020-04,1,1
2020-04-19,2020,2,4,April,2020-04,1,1
2020-04-22,2020,2,4,April,2020-04,1,1
2020-04-25,2020,2,4,April,2020-04,1,1
2020-04-27,2020,2,4,April,2020-04,1,1
2020-04-29,2020,2,4,April,2020-04,1,1
2020-05-02,2020,2,5,May,2020-05,1,1
2020-05-04,2020,2,5,May,2020-05,1,1
2020-05-11,2020,2,5,May,2020-05,1,1
2020-05-13,2020,2,5,May,2020-05,1,1
2020-05-14,2020,2,5,May,2020-05,1,1
2020-05-17,2020,2,5,May,2020-05,1,1
2020-05-22,2020,2,5,May,2020-05,1,1
2020-05-23,2020,2,5,May,2020-05,1,1
2020-05-24,2020,2,5,May,2020-05,1,1
2020-06-02,2020,2,6,June,2020-06,1,1
2020-06-07,2020,2,6,June,2020-06,1,1
2020-06-16,2020,2,6,June,2020-06,1,1
2020-06-17,2020,2,6,June,2020-06,1,1
2020-06-21,2020,2,6,June,2020-06,1,1
2020-06-23,2020,2,6,June,2020-06,1,1
2020-06-24,2020,2,6,June,2020-06,1,1
2020-07-04,2020,3,7,July,2020-07,1,1
2020-07-06,2020,3,7,July,2020-07,1,1
2020-07-09,2020,3,7,July,2020-07,1,1
2020-07-12,2020,3,7,July,2020-07,1,1
2020-07-13,2020,3,7,July,2020-07,1,1
2020-07-16,2020,3,7,July,2020-07,1,1
2020-07-25,2020,3,7,July,2020-07,1,1
2020-08-05,2020,3,8,August,2020-08,1,1
2020-08-07,2020,3,8,August,2020-08,1,1
2020-08-09,2020,3,8,August,2020-08,1,1
2020-08-10,2020,3,8,August,2020-08,1,1
2020-08-11,2020,3,8,August,2020-08,1,1
2020-08-16,2020,3,8,August,2020-08,1,1
2020-08-18,2020,3,8,August,2020-08,1,1
2020-08-19,2020,3,8,August,2020-08,1,1
2020-08-21,2020,3,8,August,2020-08,1,1
